ricolié: 15119927675364900527211737165728483326700199873988921177166193728095701806227,
riley: 20603016347865913370412106783809957462322118188427676951010977957745543493652,
riodurant: 44252485633779681434843708366642618375921454147369060659797352366254272402128,
riotmar: 76358421085609642396016024900299895118093859759518119172977243290205564292678,
roken: 103307280123009183485734686004575420618562129306227292006398052820752851200640,
romba: 98328456627282720975973081866121460119731824995795291183831940369900609397682,
rookkast: 89311514267492985308035496575997635841080392498956751091893704745656669218500,
roostarpals: 95494328681154161664896714371115603454340700429160599453100736827025588907808,
rosetico: 82511323713371504148182655774753422665302402595090825945403491014136583060926,
ruescottmelshi: 57958942004329832464447385797502671810326456197986396949453440854776537545741,
runaisculdun: 19711340511352521459284057471145871480937683637703399896641057787235688126730,
runehaako: 35719320735447607945258614833653377831346542133648296237538308894412575779584,
rushclovis: 103742876482137842435982369470832411848671500648459287895085381153442790662227,
ruweenaberrie: 114567093528147056214239406079177325356285816692028098158840012390851228627103,
ryoonaberrie: 55934188865388594288114359424449630116117695622065011601166637151788664873697,
sabé: 47975742041041253595047634301970868335891483313765863277644800733019455830783,
sabinewren: 13670054103950181752538003103851823636150747915879180389185318405673517401316,
saché: 94087396065701402214707312806464386893907038064748156964520225994969747041341,
saeseetiin: 37136131334678455795613478874589894763467864024701037470077848765669644579148,
salinekryze: 12076943466083244418601325338117054260349856523007630886042237386916854517456,
salmanpaak: 2008107639977726287033521805662508709860615997433138939359450205789790109590,
sanastarros: 10418443446724357146991129042059526920305209981210723793409088149093127745791,
sarcoplank: 6339314619111467570248727967832766245567477602362347703426220622744913678944,
sarlacc: 67402026452861462796173251831695654717361757230237786484961986412456467799536,
sashketter: 105028681961794043250141749137825349561455490586049420915155568913593881623614,
savageopress: 18023036910028969566002776899948389304993869994385081166286301342281938104625,
sawgerrera: 40800400587392422144298634905784994843331756976219363279645242713077869775877,
sebulba: 18029868966290990395760254912104109034425790727549114415066614767567509810491,
secondsister: 72193759866674711019130324441740852407513572868668511730424169004989506770177,
senatoramidala: 19747259817588054025754329794477406236116878394091032068535819452757318700837,
senatororgana: 70702411036731138526333718872501732156387598054099103686679953520970344727555,
senatorpalpatine: 76762622056651802554878405792403308936176297954753164370013930498853169688222,
sergeanthunter: 7321335081072256947485824445096040151089048849449549295737780595111179309525,
shaakti: 866799965320527736386841801650336837917042643542883517329149912138745147358,
sheevpalpatine: 10831538772035333987898041297232816911538125689314471336176407974117917055526,
shmi: 59724434747381008724754254864020611718854876417985333648020326545764776417987,
shmiskywalker: 33474088421596342227010221159753118556863506011788574347651493118207952277744,
shumai: 31832592371519930822897086126826425080158955074999402279490213805636305841668,
sidonithano: 3618715276074802223381240490994004279643950377834976707640973361174626265470,
sifo-dyas: 59378415758918514308658299766133885927981868285225240913337135207992654386470,
silman: 57152824276308943092239477304574777219185443278303246208413174511868933044532,
simaloo: 43209595811577428251842059249635451079438546627279759766443009596302748803249,
siobibble: 43648907368658068096782934412350808193956680219186306776814653859103949693251,
skad: 71177228759513192675652078756217834996898193010645708200793547834571871245504,
slip: 76446480333020995680326275826476661825798926497530578438797316390429275568222,
